trial_type,onset,duration,weight
Image_loc1,1.5,3,1
Image_loc3,9,3,1
Image_loc1,16.5,3,1
Scrambled_loc2,25.5,3,1
Image_loc2,33,3,1
Scrambled_loc1,43.5,3,1
Image_loc1,52.5,3,1
Image_loc3,60,3,1
Scrambled_loc3,67.5,3,1
Scrambled_loc1,78,3,1
Image_loc2,85.5,3,1
Image_loc2,93,3,1
Image_loc2,102,3,1
Scrambled_loc3,109.5,3,1
Image_loc3,117,3,1
Scrambled_loc1,126,3,1
Scrambled_loc3,133.5,3,1
Image_loc2,141,3,1
Image_loc3,148.5,3,1
Image_loc3,156,3,1
Scrambled_loc2,163.5,3,1
Image_loc2,172.5,3,1
Image_loc3,180,3,1
Scrambled_loc2,189,3,1
Image_loc1,198,3,1
Image_loc1,205.5,3,1
Image_loc3,214.5,3,1
Scrambled_loc1,223.5,3,1
Image_loc3,231,3,1
Image_loc1,238.5,3,1
Image_loc2,246,3,1
Scrambled_loc2,255,3,1
Scrambled_loc1,264,3,1
Image_loc1,271.5,3,1
Image_loc2,279,3,1
Image_loc3,288,3,1
