trial_type,onset,duration,weight
Motion_loc2,1.5,3,1
Static_loc1,9,3,1
Motion_loc1,16.5,3,1
Motion_loc3,24,3,1
Motion_loc1,31.5,3,1
Static_loc3,39,3,1
Motion_loc2,48,3,1
Motion_loc1,55.5,3,1
Static_loc2,64.5,3,1
Motion_loc2,73.5,3,1
Motion_loc2,82.5,3,1
Motion_loc3,91.5,3,1
Static_loc2,99,3,1
Motion_loc3,109.5,3,1
Static_loc2,118.5,3,1
Motion_loc2,126,3,1
Motion_loc3,133.5,3,1
Static_loc1,142.5,3,1
Motion_loc1,150,3,1
Motion_loc3,157.5,3,1
Motion_loc1,166.5,3,1
Static_loc2,174,3,1
Motion_loc2,181.5,3,1
Motion_loc2,190.5,3,1
Static_loc1,199.5,3,1
Motion_loc1,207,3,1
Static_loc3,214.5,3,1
Motion_loc1,223.5,3,1
Motion_loc3,232.5,3,1
Static_loc3,240,3,1
Motion_loc3,247.5,3,1
Static_loc1,258,3,1
Motion_loc1,268.5,3,1
Motion_loc3,276,3,1
Motion_loc2,283.5,3,1
Static_loc3,291,3,1
