trial_type,onset,duration,weight
Image_loc1,1.5,3,1
Scrambled_loc2,12,3,1
Scrambled_loc3,19.5,3,1
Scrambled_loc3,27,3,1
Image_loc3,37.5,3,1
Scrambled_loc1,46.5,3,1
Image_loc1,54,3,1
Image_loc3,63,3,1
Image_loc3,70.5,3,1
Scrambled_loc3,79.5,3,1
Image_loc1,88.5,3,1
Image_loc2,96,3,1
Image_loc3,106.5,3,1
Scrambled_loc2,114,3,1
Image_loc2,123,3,1
Scrambled_loc2,132,3,1
Image_loc3,139.5,3,1
Image_loc3,147,3,1
Image_loc1,154.5,3,1
Image_loc2,162,3,1
Scrambled_loc1,169.5,3,1
Image_loc2,177,3,1
Image_loc2,186,3,1
Image_loc2,193.5,3,1
Image_loc3,201,3,1
Scrambled_loc1,210,3,1
Scrambled_loc1,217.5,3,1
Image_loc1,226.5,3,1
Image_loc1,234,3,1
Image_loc2,243,3,1
Scrambled_loc1,250.5,3,1
Image_loc2,258,3,1
Image_loc1,265.5,3,1
Image_loc3,273,3,1
Image_loc2,280.5,3,1
Scrambled_loc3,288,3,1
