name,group,groupStr,load1,load2,load3
DMSS030,2,Old,2.94051959074454,2.74267510940473,2.84357390424669
DMSS031,2,Old,-5.86698328857624,-5.68912170182496,-5.42215111120761
DMSS032,2,Old,-6.45771909056412,-6.86080365227042,-7.29738138731468
DMSS036,2,Old,-1.40109489592569,-1.54426615785198,-1.49517434443465
DMSS037,2,Old,-3.43178274367946,-3.75648475107714,-3.85904481473493
DMSS038,2,Old,-7.81484068036923,-7.55272148789373,-7.66338703221904
DMSS039,2,Old,-5.75242227022613,-5.75365014721051,-5.67370873165997
DMSS040,2,Old,-1.44294522012883,-1.541695063988,-1.33931767816601
DMSS041,2,Old,-5.73825114026189,-5.75810364917003,-5.55326573560799
DMSS046,2,Old,-6.4387986778105,-6.57005774453712,-6.78249640878357
DMSS050,2,Old,-2.37510804805978,-2.67884669620422,-2.85916543056454
DMSS051,2,Old,-4.61807847446842,-5.11241490588767,-5.09510931849836
DMSS052,2,Old,-3.4491447546604,-3.82396489342011,-3.85188291557351
DMSS053,2,Old,-4.12066617621064,-4.68598086777535,-4.47497180982533
DMSS054,2,Old,-1.13296077308714,-1.21536892270076,-0.97625835698463
DMSS055,2,Old,-0.469181290325824,-0.313806153581516,-0.567623819498626
DMSS056,2,Old,-3.55108277363288,-3.48521573202576,-3.55209873205725
DMSS057,2,Old,-3.50420816776841,-3.69545720837663,-3.51935075727964
DMSS058,2,Old,-4.55043665385729,-4.36066086057811,-4.53587407756567
DMSS059,2,Old,-2.23007754993212,-2.49248728488994,-2.40678750615835
DMSS061,2,Old,-4.71382626479389,-4.71394196043862,-4.94927076613911
dmss01,1,Young,-3.05674644966395,-3.34410853109445,-3.50382598200753
dmss02,1,Young,-3.74130273480666,-3.39963782328798,-3.63918292942712
dmss03,1,Young,-5.75429247369085,-6.27839581804158,-6.04110826132804
dmss06,1,Young,-2.72120527621061,-2.60266684766853,-2.61568121484533
dmss07,1,Young,-3.87570979157889,-3.31187336610969,-3.94995276057822
dmss08,1,Young,-3.79229300559498,-3.80648881516916,-3.81415464862377
dmss11,1,Young,-2.53072351695482,-2.52992657631708,-2.63855956937148
dmss13,1,Young,-2.47862451831522,-2.5561302721148,-3.0852103634301
dmss14,1,Young,-1.21601196741371,-1.43567752270308,-1.84190845365196
dmss15,1,Young,-4.31201322844179,-4.3217780555914,-4.15299102810295
dmss16,1,Young,0.0428903312293416,-0.258845766507363,0.0556691490815059
dmss17,1,Young,-1.84043401121191,-1.8845973753398,-3.02881001399943
dmss19,1,Young,-4.99038291291461,-5.13085470648023,-5.91513523646961
dmss20,1,Young,-2.99200861445971,-2.80933102808292,-2.85076699513375
dmss21,1,Young,-3.52469505604856,-3.78231092645238,-3.48746161013879
dmss22,1,Young,-4.31899207460536,-4.25829896205742,-4.88503604751236
dmss25,1,Young,-1.45740329832412,-1.33026408444771,-1.56984139694031
dmss26,1,Young,-1.52396523970465,-2.17065146020297,-2.2049659589906
dmss27,1,Young,-2.39744547801251,-2.45720886446712,-2.3738860725684
dmss29,1,Young,-3.35139289755726,-3.10826044489036,-3.20484929971871
