name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.0609331194754343,0.158323159116557,-0.340175707241734
DMSS031,2,Old,-0.201991474189542,-0.115563613784656,-0.117828510276851
DMSS032,2,Old,-0.481385564815358,-0.633657043791459,-0.763551964202422
DMSS036,2,Old,-0.307536042678544,-0.303190359446975,-0.192217140288661
DMSS037,2,Old,-0.00971720484151348,-0.162158112567993,-0.418948504810029
DMSS038,2,Old,-0.904648584338159,-0.20959712497191,-0.523262651169118
DMSS039,2,Old,-0.60966715809256,-0.384944291096684,-0.354809238632259
DMSS040,2,Old,0.0267471186810374,-0.140242603718492,0.0379924096535386
DMSS041,2,Old,-0.37486734424566,-0.171900083365092,-0.0660878792271335
DMSS046,2,Old,-0.5620725347505,-0.384105100841528,-0.577340065938219
DMSS050,2,Old,0.00745519094056625,-0.0456161473665589,-0.065675731570922
DMSS051,2,Old,-0.0990465456895057,-0.130532546821526,-0.0060380225552656
DMSS052,2,Old,-0.605101581250112,-0.643055178911849,-0.573845409890706
DMSS053,2,Old,-0.274389656105498,-0.737649604636767,-0.908971801513307
DMSS054,2,Old,0.027356696922263,-0.207643052823473,-0.0252297673714625
DMSS055,2,Old,-0.290166411994929,-0.238694828034719,-0.201314456640777
DMSS056,2,Old,-0.361983396659492,-0.17040769819994,-0.397878705779038
DMSS057,2,Old,-0.396147154943398,-0.507220962462365,-0.591894440497546
DMSS058,2,Old,-0.0918930483815814,-0.309210618500606,-0.3237111545515
DMSS059,2,Old,-0.456240119127115,-0.404644586662652,-0.660634815551952
DMSS061,2,Old,-0.816545750638025,-0.962517718843637,-0.753071578290424
dmss01,1,Young,-0.168914855932557,-0.249674673162845,-0.294622408159304
dmss02,1,Young,-0.583983894358467,-0.463949559426789,-0.333856412174764
dmss03,1,Young,-0.333714329349919,-0.852050822514733,-0.501398430120842
dmss06,1,Young,-0.271471655170189,-0.15011535164507,-0.164893892044978
dmss07,1,Young,-0.447804250849497,-0.412088527396215,-0.592681406652902
dmss08,1,Young,-0.304720793416752,-0.126217370247032,-0.0893113800424115
dmss11,1,Young,0.0655530204488682,-0.110825270540387,0.151876269877813
dmss13,1,Young,-0.103694490636575,0.0351158829543201,-0.189404155630573
dmss14,1,Young,0.160198965824317,0.137392235345552,0.0722145811075916
dmss15,1,Young,-0.122304482947864,0.0414485906063003,-0.221720314649218
dmss16,1,Young,0.064581977384402,0.0753796203804586,0.26158998075662
dmss17,1,Young,0.102160296682086,-0.130396807637869,-0.253923596143142
dmss19,1,Young,0.0379069354207195,-0.00526858513162029,-0.53662170953418
dmss20,1,Young,-0.423921731659036,0.0713742511376531,-0.18908114197758
dmss21,1,Young,0.121623393575233,-0.300657979733203,-0.130011914715797
dmss22,1,Young,0.134834968924901,-0.0397231928565655,-0.00171051734231514
dmss25,1,Young,-0.031338249098612,0.00611126119611035,0.047445961139561
dmss26,1,Young,-0.218980719954625,-0.454055223953971,-0.083055323814835
dmss27,1,Young,-0.137489244530326,-0.145590670939914,-0.0475442175791748
dmss29,1,Young,0.0528535787553089,-0.0812474841572985,0.0669523904568097
