name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.211095164286133,-0.0747709857809966,-0.218109113147742
DMSS031,2,Old,-0.310746689822022,-0.943855411261675,-0.249602839940961
DMSS032,2,Old,-0.56953903040157,-1.25612520317834,-0.919591922551545
DMSS036,2,Old,-0.246765694534212,-0.946103849883073,-0.389809193739428
DMSS037,2,Old,-0.0507475808716685,-0.194724686129626,-0.120904812288978
DMSS038,2,Old,-0.321578270303582,-0.0675632747450829,-0.300137265900199
DMSS039,2,Old,-0.0818711668625467,-0.204592440811455,-0.226474688663655
DMSS040,2,Old,-0.0741591556939518,0.0589062649785627,-0.117231068376972
DMSS041,2,Old,-0.249930434200548,-0.164112432481551,-0.189526826763267
DMSS046,2,Old,-0.708380798215558,-0.844813188422474,-0.77801503518659
DMSS050,2,Old,-0.0800501159021988,-0.0201128342507641,-0.235357570131228
DMSS051,2,Old,0.299591733181289,-0.28047360602979,0.0271025834083291
DMSS052,2,Old,-0.412985165855025,-0.608459516110498,-0.540393852165024
DMSS053,2,Old,-0.352303158285487,-0.850308183984085,-0.158930152594111
DMSS054,2,Old,-0.00478597430405011,-0.365723903575187,-0.187153472689284
DMSS055,2,Old,0.274547432801314,0.57696354008935,-0.272116390500897
DMSS056,2,Old,-0.204393432795841,-0.28158734386943,-0.12750122814602
DMSS057,2,Old,-0.125260946948891,-0.233087183342997,-0.356432332349063
DMSS058,2,Old,-0.955193075202626,-0.838228150604695,-0.133406508427155
DMSS059,2,Old,-0.770964335203808,-0.501625025783412,-0.726097988852221
DMSS061,2,Old,-0.258943531089821,-0.105900000705063,-0.463033392948872
dmss01,1,Young,0.133572935830002,-0.0517144198867098,0.0177546152799614
dmss02,1,Young,-0.513727822143848,-0.220826799876238,-0.189259388438347
dmss03,1,Young,-0.59018575018472,-0.802694556718248,-0.737520641047483
dmss06,1,Young,-0.0967264500049421,-0.0143804126552483,-0.30176020183975
dmss07,1,Young,-0.126342913064548,0.215218113396205,0.0702178742224311
dmss08,1,Young,-0.121448323655788,-0.150059590795981,-0.205454463071888
dmss11,1,Young,-0.171752731356571,-0.227029874998369,-0.218262184490944
dmss13,1,Young,-0.291574264620467,-0.584876336053258,-0.44398418793069
dmss14,1,Young,-0.2324529937479,-0.173144326516729,-0.365323808587579
dmss15,1,Young,-0.111037811422722,-0.139888870808822,-0.450694837788172
dmss16,1,Young,0.21392061849912,0.199370399776467,0.362962950041138
dmss17,1,Young,0.048334791719296,-0.339667766194188,-0.922435177198994
dmss19,1,Young,0.39467023113021,0.0118352886827137,-0.68914995454339
dmss20,1,Young,0.00622972685997818,-0.00910642805861275,-0.180855256463879
dmss21,1,Young,0.0107287726892668,-0.280635955330118,-0.131923686354485
dmss22,1,Young,-0.173972764788816,-0.067919690967627,-0.511989255560616
dmss25,1,Young,-0.120887309769026,-0.0490128237652557,-0.0461627966770463
dmss26,1,Young,-0.376883663269018,-0.172179939765913,-0.408125768882068
dmss27,1,Young,0.0637031414683417,-0.210145068489109,-0.292689554821435
dmss29,1,Young,0.00792114370481072,0.0540199031881901,0.050467133896454
