name,group,groupStr,delayVar,ss,beha
dmss01,1,Young,-0.136098517630115,1,0.954166666666667
dmss02,1,Young,-0.52174305303329,1,0.925
dmss03,1,Young,-0.463577776747814,1,0.904166666666667
dmss06,1,Young,-0.11106005831303,1,0.829166666666667
dmss07,1,Young,-0.166104240012035,1,0.8125
dmss08,1,Young,-0.315531203114534,1,0.9625
dmss11,1,Young,-0.387285847898928,1,0.95
dmss13,1,Young,0.0487047290474279,1,0.9875
dmss14,1,Young,-0.515436359455382,1,0.929166666666667
dmss15,1,Young,-0.35606186327216,1,0.929166666666667
dmss16,1,Young,-0.0429517422417655,1,0.979166666666667
dmss17,1,Young,-1.1912008603411,1,0.9875
dmss19,1,Young,-0.465644311727821,1,0.970833333333333
dmss20,1,Young,-0.954677249062684,1,0.841666666666667
dmss21,1,Young,-0.383704452070852,1,0.904166666666667
dmss22,1,Young,-0.177408691027327,1,0.9375
dmss25,1,Young,0.0424835702192241,1,0.8875
dmss26,1,Young,-0.116445955621536,1,0.933333333333333
dmss27,1,Young,-0.212075236872068,1,0.95
dmss29,1,Young,-0.257965820457192,1,0.95
dmss01,1,Young,0.38386647866823,2,0.920833333333333
dmss02,1,Young,-0.607455538872695,2,0.895833333333333
dmss03,1,Young,-0.961781783448162,2,0.945833333333333
dmss06,1,Young,0.064377692753876,2,0.8125
dmss07,1,Young,-0.193729472140865,2,0.8125
dmss08,1,Young,-0.099275283050711,2,0.925
dmss11,1,Young,-0.561649051249307,2,0.895833333333333
dmss13,1,Young,0.0321128429515278,2,0.966666666666667
dmss14,1,Young,-0.123752168400275,2,0.875
dmss15,1,Young,-0.364547817176945,2,0.916666666666667
dmss16,1,Young,-0.146059847078487,2,0.9375
dmss17,1,Young,-0.407424743187954,2,0.925
dmss19,1,Young,0.267079687079723,2,0.895833333333333
dmss20,1,Young,0.00104596537874276,2,0.75
dmss21,1,Young,-0.227100559606009,2,0.904166666666667
dmss22,1,Young,-0.113928589214182,2,0.916666666666667
dmss25,1,Young,0.0629992620061762,2,0.829166666666667
dmss26,1,Young,-0.389516035491951,2,0.85
dmss27,1,Young,-0.157419030418802,2,0.9
dmss29,1,Young,0.0691906471535916,2,0.85
dmss01,1,Young,-0.702704278161331,4,0.845833333333333
dmss02,1,Young,-0.353005920490933,4,0.783333333333333
dmss03,1,Young,-1.33302624957705,4,0.8875
dmss06,1,Young,-0.0861809923180433,4,0.683333333333333
dmss07,1,Young,-0.147947034810226,4,0.758333333333333
dmss08,1,Young,-0.256130222832456,4,0.891666666666667
dmss11,1,Young,-1.39682516837671,4,0.845833333333333
dmss13,1,Young,-0.576675929410371,4,0.933333333333333
dmss14,1,Young,-0.377936416692823,4,0.8125
dmss15,1,Young,-0.354914801705037,4,0.8875
dmss16,1,Young,-0.617954360907505,4,0.908333333333333
dmss17,1,Young,-1.08484265155512,4,0.95
dmss19,1,Young,0.314719482370825,4,0.854166666666667
dmss20,1,Young,-0.225352686786916,4,0.820833333333333
dmss21,1,Young,-0.13991612659867,4,0.8
dmss22,1,Young,-0.964542215591114,4,0.870833333333333
dmss25,1,Young,0.0315399247466868,4,0.779166666666667
dmss26,1,Young,-0.253037251013471,4,0.779166666666667
dmss27,1,Young,-0.0696278234293047,4,0.870833333333333
dmss29,1,Young,0.661007972972378,4,0.783333333333333
