name,group,groupStr,delayVar,ss,beha
DMSS030,2,Old,0.0729555053471646,1,0.933333333333333
DMSS031,2,Old,-0.563371554719076,1,0.920833333333333
DMSS032,2,Old,-0.561254425352656,1,0.956521739130435
DMSS036,2,Old,-0.726816081126033,1,0.941666666666667
DMSS037,2,Old,-1.03052706449922,1,0.930612244897959
DMSS038,2,Old,-0.238030511579117,1,0.908333333333333
DMSS039,2,Old,0.18959278264472,1,0.983333333333333
DMSS040,2,Old,-0.0135409161115547,1,0.929166666666667
DMSS041,2,Old,-0.466021198014886,1,0.770833333333333
DMSS046,2,Old,-0.472039215181315,1,0.895833333333333
DMSS050,2,Old,-0.00210632742443132,1,0.9625
DMSS051,2,Old,-0.106823901994193,1,0.941666666666667
DMSS052,2,Old,-0.179835354818507,1,0.945833333333333
DMSS053,2,Old,-0.32614807155893,1,0.991666666666667
DMSS054,2,Old,-0.565807855628857,1,0.933333333333333
DMSS055,2,Old,-0.366669260025462,1,0.9625
DMSS056,2,Old,-0.64589064039918,1,0.9125
DMSS057,2,Old,-0.0217534281650434,1,0.933333333333333
DMSS058,2,Old,-0.365294340006669,1,0.879166666666667
DMSS059,2,Old,-0.0677504109651212,1,0.8125
DMSS061,2,Old,-0.0289607147981346,1,0.745192307692308
DMSS030,2,Old,0.167608494583112,2,0.770833333333333
DMSS031,2,Old,-1.38405045778546,2,0.845833333333333
DMSS032,2,Old,-0.490710454062841,2,0.875
DMSS036,2,Old,-0.890483228125381,2,0.8625
DMSS037,2,Old,-0.898160282859904,2,0.814516129032258
DMSS038,2,Old,-0.289009765258913,2,0.854166666666667
DMSS039,2,Old,0.0829156811757943,2,0.9
DMSS040,2,Old,-0.00513138618770536,2,0.8125
DMSS041,2,Old,-0.296801283153242,2,0.729166666666667
DMSS046,2,Old,-0.45144433206526,2,0.816666666666667
DMSS050,2,Old,0.0136950456876286,2,0.875
DMSS051,2,Old,-0.231753733325968,2,0.808333333333333
DMSS052,2,Old,-0.202100333623576,2,0.8875
DMSS053,2,Old,-0.985300704788137,2,0.933333333333333
DMSS054,2,Old,-0.651192262483557,2,0.916666666666667
DMSS055,2,Old,-0.337718200532739,2,0.883333333333333
DMSS056,2,Old,-0.574132870088109,2,0.845833333333333
DMSS057,2,Old,-0.199585890776143,2,0.8875
DMSS058,2,Old,-0.616756465108811,2,0.866666666666667
DMSS059,2,Old,-0.339189841966349,2,0.80625
DMSS061,2,Old,-0.18844670146146,2,0.701923076923077
DMSS030,2,Old,0.082630166429741,4,0.766666666666667
DMSS031,2,Old,-0.567626826589215,4,0.833333333333333
DMSS032,2,Old,-0.401467879243691,4,0.820652173913043
DMSS036,2,Old,-0.204038804880064,4,0.791666666666667
DMSS037,2,Old,-1.19568754842509,4,0.730612244897959
DMSS038,2,Old,-0.199516724900732,4,0.725
DMSS039,2,Old,0.249190076321684,4,0.816666666666667
DMSS040,2,Old,0.014336849232151,4,0.679166666666667
DMSS041,2,Old,-0.680960380150101,4,0.6625
DMSS046,2,Old,-0.594031222856275,4,0.741666666666667
DMSS050,2,Old,-0.389507837706844,4,0.795833333333333
DMSS051,2,Old,-0.559110988396144,4,0.7375
DMSS052,2,Old,-0.29507471882499,4,0.7625
DMSS053,2,Old,-0.305105112327641,4,0.870833333333333
DMSS054,2,Old,-0.417698164300177,4,0.883333333333333
DMSS055,2,Old,-0.727428325586293,4,0.820833333333333
DMSS056,2,Old,-1.07742181626402,4,0.8
DMSS057,2,Old,-0.539460838935988,4,0.804166666666667
DMSS058,2,Old,-0.302712849983068,4,0.779166666666667
DMSS059,2,Old,-0.415172458634836,4,0.75625
DMSS061,2,Old,-0.0931448037095921,4,0.639423076923077
