name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.224712878544916,0.877683326147479,1.06696043659382
DMSS031,2,Old,-1.28573690223119,-1.48490591541472,-1.09132862265273
DMSS032,2,Old,-0.990251998784768,0.0880797423172086,-0.513991487163099
DMSS036,2,Old,-2.40371122652851,-2.0522544746676,-2.05082250684984
DMSS037,2,Old,0.150916084660911,-0.189184890001648,-0.0203452182507691
DMSS038,2,Old,-2.29833343103196,-2.51469552814995,-1.9040638365742
DMSS039,2,Old,-1.57456965737163,-1.2422369019269,-1.59277382554498
DMSS040,2,Old,-1.10607341837266,-1.37332229764039,-0.909834782978228
DMSS041,2,Old,-0.861772956846129,-0.784141079364951,-0.690064039320634
DMSS046,2,Old,-0.551429304470866,-0.0896791348859429,-0.669879048221435
DMSS050,2,Old,-0.221139422430938,-0.60963241120967,-0.425384557541346
DMSS051,2,Old,-2.39870499297079,-2.16932143177515,-1.82416569457207
DMSS052,2,Old,-1.60039153295935,-1.75904770236834,-1.2071501336715
DMSS053,2,Old,-1.75278443979313,-1.85270004216065,-1.93830222493587
DMSS054,2,Old,-0.424129786922914,-0.201437629938798,-0.35205327684278
DMSS055,2,Old,0.384929918168761,0.737308390023249,0.121928615174436
DMSS056,2,Old,-1.26306968212313,-1.18400759698779,-0.903719797167175
DMSS057,2,Old,-1.24335192798932,-0.454800675162862,-0.702015298824963
DMSS058,2,Old,-0.472817682843815,-0.702446596005804,0.163278457192792
DMSS059,2,Old,0.543585026639625,-0.166769537463859,-0.434034072011986
DMSS061,2,Old,-0.138819861249494,-0.187824442290722,-0.343094496311654
dmss01,1,Young,-1.60193408137801,-0.13626156433382,-0.141548018837607
dmss02,1,Young,-1.03606339673432,-0.907088793995676,-0.621145752304161
dmss03,1,Young,-0.847812368221252,-0.900516695103739,-1.5390081522624
dmss06,1,Young,-0.232404871075307,-0.255952882893625,-0.256407202306669
dmss07,1,Young,-1.32911862064503,-1.01425014674981,-1.48572895887527
dmss08,1,Young,-0.155605864107354,0.0672861910290063,-0.508482433149346
dmss11,1,Young,-0.575762887682545,-0.565391957803613,-0.228196550749556
dmss13,1,Young,-1.67744586493996,-1.82193434836954,-2.33621925025323
dmss14,1,Young,-0.897973349877012,-0.71204322750771,-0.951941361219722
dmss15,1,Young,-0.653801231479743,-0.703969355301058,-0.620060313149484
dmss16,1,Young,-0.570069989128145,-0.451844069099297,-0.413633850366251
dmss17,1,Young,-0.927851775503835,-1.17088362613027,-1.41302275491957
dmss19,1,Young,-0.667831931322197,-0.739964073541531,-1.12654028737059
dmss20,1,Young,-2.10734264265114,-1.428355591524,-1.22332190752384
dmss21,1,Young,0.376566786768016,0.265616927417212,0.501060946516879
dmss22,1,Young,-0.497535352722363,-0.407740557944125,-0.281672434006142
dmss25,1,Young,-0.807700538971735,-0.264279886483688,-0.292500896216925
dmss26,1,Young,-1.57034019201443,-1.17209591749703,-1.42654139680096
dmss27,1,Young,-0.291613726065694,-0.818014046648745,0.0984474395065399
dmss29,1,Young,0.10102942160239,0.398720616026169,-0.321507023006554
