name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.309487505133615,0.354228417306928,0.0477104333760551
DMSS031,2,Old,0.400527593765633,0.651621193189721,0.458978270548033
DMSS032,2,Old,0.80808552443773,0.583138449599242,0.36722868410772
DMSS036,2,Old,0.905954348149945,0.772974576851614,0.673164919205441
DMSS037,2,Old,0.405181186033167,0.291932239349013,0.393603118503906
DMSS038,2,Old,0.338311173049482,0.335146541842949,0.369278657274422
DMSS039,2,Old,1.06836207259924,1.13766503828289,1.1535163172786
DMSS040,2,Old,-0.0558600744375351,0.023130763990829,0.16630807781883
DMSS041,2,Old,0.869054790901036,0.864973463387063,0.515874386056506
DMSS046,2,Old,0.903584350074658,0.70825882958367,0.774701105774554
DMSS050,2,Old,0.0219536867857151,0.0557691328951471,0.0747648454381653
DMSS051,2,Old,0.319428089206699,0.290469962171943,-0.229746788622287
DMSS052,2,Old,0.991071266313854,0.813895434281466,0.695391863523259
DMSS053,2,Old,1.99087432967748,1.95810094740313,2.19572447541051
DMSS054,2,Old,2.05255522448077,1.9353262738046,1.68614150206114
DMSS055,2,Old,1.09194445993218,0.885103217126276,0.889455832409221
DMSS056,2,Old,1.05768413566862,1.21014980957752,0.929947810552584
DMSS057,2,Old,0.938021495800149,1.02703616034906,0.798172031194907
DMSS058,2,Old,0.750835628491465,0.981888464628194,1.17026511653962
DMSS059,2,Old,0.0259730294091214,0.106911324137865,0.125768468499635
DMSS061,2,Old,-0.209959661329888,-0.235872752473798,-0.202097685599963
dmss01,1,Young,1.09320551876642,1.10869040143938,1.009510988411
dmss02,1,Young,0.893645185192546,0.810456957273879,0.661512718897396
dmss03,1,Young,0.758111934971639,0.339525837543173,0.562240837150209
dmss06,1,Young,0.800018991839592,0.917422779244202,0.704087173277435
dmss07,1,Young,0.371390311964271,0.434900156784042,0.428751424103127
dmss08,1,Young,1.0704035600324,0.76542797286619,0.926312036143825
dmss11,1,Young,0.860989515117512,0.94980579158015,0.72452833752418
dmss13,1,Young,0.622661235336806,0.794286678112767,0.850601703400416
dmss14,1,Young,0.893850569134632,0.97627407308933,0.809661556016107
dmss15,1,Young,0.433205759154768,0.486220935996032,0.457820333367395
dmss16,1,Young,0.248565846065764,0.353881375722663,0.352571698362369
dmss17,1,Young,0.622997679728593,0.722344856764316,0.826238935230216
dmss19,1,Young,0.603423851883172,0.588691402171977,0.339870310008212
dmss20,1,Young,1.36687058645792,1.1911720676758,1.30110200117737
dmss21,1,Young,0.446609881345839,0.777065276590131,0.744896592142946
dmss22,1,Young,-0.317864232525221,0.230302074812175,0.237805153013501
dmss25,1,Young,0.100277319293349,0.161949092926751,0.336141477639711
dmss26,1,Young,1.0993178906781,1.32295227047662,0.921690974179556
dmss27,1,Young,0.278121673948496,0.293685923868251,0.338623097984261
dmss29,1,Young,0.709706465173106,1.11380930997767,0.808978101897984
