subname,peakF_1,peakF_2,peakF_3,peakPLV_1,peakPLV_2,peakPLV_3,avgPLV,peakF2plot
S039,8,3,,-0.0142123799767341,-0.00649855217237415,,-0.0370126611910296,3
S041,4.5,7,11.5,0.152320042821663,0.124793026112633,0.0733228705414683,0.0894733693534216,4.5
S046,6.5,,,0.232384666211623,,,0.142400171132638,6.5
S050,7.5,,,0.0945256555727613,,,-0.0104546179458279,7.5
S057,6,,,0.154699333606285,,,0.0525901370486035,6
S065,7,,,0.0905671913387678,,,-0.00146883019247774,7
S066,6.5,,,0.221953011834128,,,0.10357537713571,6.5
S068,3,8.5,,0.138213003294744,0.0495570689045104,,0.00650508195713046,3
S070,6.5,11,,0.131550593390578,0.260037383090323,,0.11666956460218,6.5
S072,4.5,12,,0.052830780180902,0.156256621231566,,0.0652435880562489,4.5
S074,8,3,,0.100834960424786,0.10804469285471,,0.0774737025915377,3
S075,4.5,9,,0.190183298837005,0.0360080699132187,,0.0545987084245674,4.5
S076,5.5,9.5,,0.103981856051443,0.00588399587661848,,-0.00438433060516762,5.5
S077,5,,,0.176997416111852,,,0.0363031190971995,5
S078,6,,,0.243639545205636,,,0.0919200452668397,6
S079,4,9,,-0.0393907808358615,0.0379601471370463,,-0.0100602117350419,4
S084,6,12,,0.119068319235891,0.120320249261546,,0.0609407993488422,6
S085,7,11.5,,0.238040915021119,0.0118721314082981,,0.107318392828944,7
S088,4,10,,-0.0285470476187387,0.1439105576501,,-0.00600927681161846,4
S092,4,7.5,,-0.0276775388943132,-0.0385619468755525,,-0.0578735066814078,4
S101,5,8,11.5,0.0698591478796196,0.0837993407715204,-0.0109722697156591,0.0240268238395682,5
S102,6,8.5,,0.0221069142563912,0.0450158244416275,,-0.0481226091197228,6
